CODE,DESCRIPTION,0
160903007,Full-time employment (finding),12486
73595000,Stress (finding),4785
160904001,Part-time employment (finding),2280
423315002,Limited social contact (finding),1264
444814009,Viral sinusitis (disorder),1226
422650009,Social isolation (finding),1202
741062008,Not in labor force (finding),1007
706893006,Victim of intimate partner abuse (finding),781
195662009,Acute viral pharyngitis (disorder),694
10509002,Acute bronchitis (disorder),554
224299000,Received higher education (finding),523
424393004,Reports of violence in the environment (finding),483
72892002,Normal pregnancy,453
162864005,Body mass index 30+ - obesity (finding),452
160968000,Risk activity involvement (finding),359
271737000,Anemia (disorder),315
15777000,Prediabetes,311
5251000175109,Received certificate of high school equivalency (finding),291
59621000,Hypertension,280
266948004,Has a criminal record (finding),229
40055000,Chronic sinusitis (disorder),225
278860009,Chronic low back pain (finding),214
65363002,Otitis media,185
10939881000119104,Unhealthy alcohol drinking behavior (finding),183
19169002,Miscarriage in first trimester,182
43878008,Streptococcal sore throat (disorder),177
91861009,Acute myeloid leukemia  disease (disorder),165
237602007,Metabolic syndrome X (disorder),156
105531004,Housing unsatisfactory (finding),145
409089005,Febrile neutropenia (disorder),139
1121000119107,Chronic neck pain (finding),134
80583007,Severe anxiety (panic) (finding,131
44465007,Sprain of ankle,117
713458007,Lack of access to transportation (finding),117
55822004,Hyperlipidemia,116
266934004,Transport problems (finding),115
361055000,Misuses drugs (finding),89
840544004,Suspected COVID-19,87
840539006,COVID-19,86
53741008,Coronary Heart Disease,85
224295006,Only received primary school education (finding),85
68496003,Polyp of colon,84
73438004,Unemployed (finding),80
386661006,Fever (finding),75
36971009,Sinusitis (disorder),72
62106007,Concussion with no loss of consciousness,72
44054006,Diabetes,71
302870006,Hypertriglyceridemia (disorder),70
239873007,Osteoarthritis of knee,64
49727002,Cough (finding),59
70704007,Sprain of wrist,58
75498004,Acute bacterial sinusitis (disorder),56
446654005,Refugee (person),55
224355006,Served in armed forces (finding),52
64859006,Osteoporosis (disorder),50
55680006,Drug overdose,49
39848009,Whiplash injury to neck,49
65966004,Fracture of forearm,47
74400008,Appendicitis,47
428251008,History of appendectomy,47
410429000,Cardiac Arrest,47
429007001,History of cardiac arrest (situation),47
82423001,Chronic pain,46
196416002,Impacted molars,45
230690007,Stroke,42
39898005,Sleep disorder (disorder),42
36955009,Loss of taste (finding),41
80394007,Hyperglycemia (disorder),40
124171000119105,Chronic intractable migraine without aura,39
703151001,History of single seizure (situation),38
128613002,Seizure disorder,38
5758002,Bacteremia (finding),37
283385000,Laceration of thigh,36
233678006,Childhood asthma,36
84229001,Fatigue (finding),34
58150001,Fracture of clavicle,33
301011002,Escherichia coli urinary tract infection,32
283371005,Laceration of forearm,32
446096008,Perennial allergic rhinitis,31
399211009,History of myocardial infarction (situation),30
91302008,Sepsis (disorder),30
22298006,Myocardial Infarction,30
284549007,Laceration of hand,30
156073000,Fetus with unknown complication,29
127013003,Diabetic renal disease (disorder),28
16114001,Fracture of ankle,28
79586000,Tubal pregnancy,28
49436004,Atrial Fibrillation,28
263102004,Fracture subluxation of wrist,28
284551006,Laceration of foot,27
198992004,Antepartum eclampsia,27
370247008,Facial laceration,27
78275009,Obstructive sleep apnea syndrome (disorder),27
24079001,Atopic dermatitis,27
47318007,Neutropenia (disorder),27
192127007,Child attention deficit disorder,26
368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder),26
713197008,Recurrent rectal polyp,25
248595008,Sputum finding (finding),25
431855005,Chronic kidney disease stage 1 (disorder),25
233604007,Pneumonia (disorder),24
203082005,Fibromyalgia (disorder),23
241929008,Acute allergic reaction,22
88805009,Chronic congestive heart failure (disorder),21
408512008,Body mass index 40+ - severely obese (finding),20
84757009,Epilepsy,20
398254007,Preeclampsia,20
26929004,Alzheimer's disease (disorder),20
62564004,Concussion with loss of consciousness,20
5602001,Opioid abuse (disorder),20
232353008,Perennial allergic rhinitis with seasonal variation,19
126906006,Neoplasm of prostate,19
422034002,Diabetic retinopathy associated with type II diabetes mellitus (disorder),19
271825005,Respiratory distress (finding),18
403190006,First degree burn,18
389087006,Hypoxemia (disorder),18
92691004,Carcinoma in situ of prostate (disorder),17
443165006,Pathological fracture due to osteoporosis (disorder),17
239872002,Osteoarthritis of hip,17
38822007,Cystitis,17
87433001,Pulmonary emphysema (disorder),16
307731004,Injury of tendon of the rotator cuff of shoulder,16
254837009,Malignant neoplasm of breast (disorder),16
57676002,Joint pain (finding),16
68962001,Muscle pain (finding),16
267102003,Sore throat symptom (finding),16
73430006,Sleep apnea (disorder),15
33737001,Fracture of rib,14
233604007,Pneumonia,14
706870000,Acute pulmonary embolism (disorder),13
267036007,Dyspnea (finding),13
359817006,Closed fracture of hip,13
201834006,Localized  primary osteoarthritis of the hand,13
35999006,Blighted ovum,13
162573006,Suspected lung cancer (situation),13
83664006,Idiopathic atrophic hypothyroidism,13
56018004,Wheezing (finding),13
403191005,Second degree burn,12
25064002,Headache (finding),12
32911000,Homeless (finding),11
65710008,Acute respiratory failure (disorder),11
1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),11
185086009,Chronic obstructive bronchitis (disorder),11
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),11
254637007,Non-small cell lung cancer (disorder),11
47693006,Rupture of appendix,10
230265002,Familial Alzheimer's disease of early onset (disorder),9
76571007,Septic shock (disorder),9
262574004,Bullet wound,9
7200002,Alcoholism,9
427419006,Transformed migraine (disorder),8
770349000,Sepsis caused by virus (disorder),8
43724002,Chill (finding),8
363406005,Malignant tumor of colon,8
110030002,Concussion injury of brain,7
68235000,Nasal congestion (finding),7
95417003,Primary fibromyalgia syndrome,7
109838007,Overlapping malignant neoplasm of colon,7
